cycle,beban_paling_negatif
851,-2.14
852,-2.17
853,-2.12
854,-2.16
855,-2.15
856,-2.18
857,-2.19
858,-2.15
859,-2.14
860,-2.13
861,-2.18
862,-2.17
863,-2.15
864,-2.17
865,-2.2
866,-2.18
867,-2.25
868,-2.22
869,-2.27
870,-2.19
871,-2.3
872,-2.24
873,-2.12
874,-2.19
875,-2.2
876,-2.27
877,-2.16
878,-2.16
879,-2.07
880,-2.01
881,-2.03
882,-2.02
883,-2.04
884,-2.05
885,-2.08
886,-2.07
887,-2.07
888,-2.1
889,-2.06
890,-2.1
891,-2.07
892,-2.1
893,-2.11
894,-2.12
895,-2.09
896,-2.09
897,-2.14
898,-2.22
899,-2.2
900,-1.83
901,-1.88
902,-1.88
903,-1.9
904,-1.88
905,-1.88
906,-1.88
907,-1.9
908,-1.92
909,-1.92
910,-1.94
911,-1.93
912,-1.92
913,-1.9
914,-1.93
915,-1.94
916,-1.95
917,-1.92
918,-1.91
919,-1.9
920,-1.92
921,-1.87
922,-1.98
923,-2.0
924,-2.02
925,-2.01
926,-2.0
927,-2.0
928,-2.0
929,-1.99
930,-2.03
931,-1.99
932,-1.98
933,-2.0
934,-2.01
935,-2.02
936,-2.03
937,-2.02
938,-1.99
939,-2.02
940,-2.01
941,-2.01
942,-2.01
943,-2.01
944,-2.03
945,-2.05
946,-1.99
947,-2.05
948,-2.01
949,-2.04
950,-2.03
951,-91.92
952,-109.63
953,-109.06
954,-108.44
955,-107.9
956,-107.34
957,-106.79
958,-106.31
959,-98.56
960,-2.11
961,-2.14
962,-2.16
963,-2.18
964,-2.2
965,-2.21
966,-2.25
967,-2.22
968,-2.24
969,-2.25
970,-2.29
971,-2.27
972,-26.15
973,-4.37
974,-105.11
975,-104.67
976,-104.09
977,-103.59
978,-103.07
979,-102.58
980,-102.05
981,-101.52
982,-101.05
983,-100.6
984,-100.01
985,-99.53
986,-99.05
987,-98.52
988,-98.03
989,-97.59
990,-97.11
991,-96.62
992,-96.11
993,-95.61
994,-95.42
995,-94.95
996,-94.51
997,-94.1
998,-93.71
999,-93.24
1000,-92.81
1001,-92.4
1002,-91.97
1003,-91.6
1004,-91.2
1005,-90.79
1006,-90.36
1007,-90.01
1008,-89.58
1009,-89.15
1010,-88.78
1011,-88.44
1012,-88.07
1013,-87.61
1014,-87.2
1015,-86.86
1016,-86.5
1017,-86.11
1018,-85.72
1019,-85.38
1020,-85.05
1021,-84.65
1022,-87.07
1023,-89.55
1024,-91.84
1025,-94.09
1026,-96.2
1027,-98.27
1028,-100.42
1029,-102.54
1030,-104.59
1031,-106.5
1032,-108.44
1033,-110.35
1034,-112.14
1035,-113.91
1036,-115.57
1037,-117.29
1038,-118.83
1039,-120.47
1040,-122.09
1041,-123.58
1042,-125.11
1043,-126.63
1044,-126.18
1045,-125.0
1046,-123.77
1047,-122.75
1048,-121.73
1049,-120.77
1050,-119.82
1051,-118.87
1052,-118.07
1053,-117.2
1054,-116.41
1055,-115.62
1056,-114.84
1057,-114.2
1058,-113.46
1059,-112.81
1060,-112.15
1061,-111.54
1062,-110.92
1063,-110.28
1064,-109.65
1065,-109.1
1066,-108.45
1067,-107.86
1068,-107.27
1069,-106.69
1070,-106.14
1071,-105.58
1072,-105.01
1073,-104.44
1074,-103.91
1075,-103.35
1076,-102.87
1077,-102.33
1078,-101.81
1079,-101.31
1080,-100.8
1081,-100.27
1082,-99.82
1083,-99.33
1084,-98.88
1085,-98.42
1086,-97.94
1087,-97.4
1088,-96.93
1089,-96.52
1090,-96.06
1091,-95.64
1092,-95.13
1093,-94.76
1094,-94.31
1095,-93.87
1096,-93.44
1097,-92.99
1098,-92.62
1099,-92.22
1100,-91.75
1101,-91.38
1102,-90.95
1103,-90.62
1104,-90.14
1105,-89.76
1106,-89.36
1107,-88.97
1108,-88.6
1109,-88.15
1110,-87.79
1111,-87.34
1112,-87.03
1113,-86.61
1114,-86.27
1115,-85.91
1116,-85.55
1117,-85.18
1118,-84.79
1119,-84.43
1120,-84.01
1121,-85.87
1122,-88.32
1123,-90.71
1124,-92.99
1125,-95.18
1126,-97.39
1127,-99.56
1128,-101.74
1129,-103.71
1130,-105.69
1131,-107.57
1132,-109.4
1133,-111.19
1134,-112.94
1135,-114.57
1136,-116.3
1137,-117.88
1138,-119.46
1139,-121.07
1140,-122.67
1141,-124.22
1142,-125.67
1143,-126.4
1144,-125.79
1145,-124.51
1146,-123.4
1147,-122.33
1148,-121.32
1149,-120.31
1150,-119.35
1151,-118.49
1152,-117.6
1153,-116.78
1154,-115.95
1155,-115.19
1156,-114.46
1157,-113.73
1158,-113.08
1159,-112.47
1160,-111.77
1161,-111.1
1162,-110.5
1163,-109.84
1164,-109.29
1165,-108.62
1166,-108.06
1167,-107.45
1168,-106.88
1169,-106.31
1170,-105.7
1171,-105.18
1172,-104.62
1173,-104.05
1174,-103.5
1175,-103.0
1176,-102.47
1177,-101.97
1178,-101.44
1179,-100.92
1180,-100.43
1181,-99.95
1182,-99.45
1183,-98.94
1184,-98.5
1185,-97.99
1186,-97.55
1187,-97.06
1188,-96.6
1189,-96.13
1190,-95.69
1191,-95.23
1192,-94.86
1193,-94.35
1194,-93.93
1195,-93.46
1196,-93.06
1197,-92.71
1198,-92.21
1199,-91.8
1200,-91.35
1201,-91.01
1202,-90.62
1203,-90.17
1204,-89.79
1205,-89.4
1206,-89.0
1207,-88.57
1208,-88.23
1209,-87.78
1210,-87.41
1211,-87.0
1212,-86.68
1213,-86.29
1214,-85.91
1215,-85.51
1216,-85.19
1217,-84.76
1218,-84.43
1219,-86.39
1220,-88.82
1221,-91.19
1222,-93.45
1223,-95.64
1224,-97.81
1225,-100.01
1226,-102.12
1227,-104.1
1228,-106.07
1229,-107.94
1230,-109.74
1231,-111.56
1232,-113.27
1233,-114.95
1234,-116.68
1235,-116.35
